"","SRR33445252","SRR33445253","SRR33445254","SRR33445260","SRR33445261","SRR33445262"
"ENSMUSG00000058230.12",2340.32983415084,3192.47354473824,2748.11544679219,3267.97736108745,3341.91651855056,3541.18451139872
"ENSMUSG00000058239.13",1930.62800775307,2053.49084215015,2061.89346889593,2350.02549861249,2391.49307583175,2236.18026920722
"ENSMUSG00000058240.14",291.3813178304,444.667711120925,674.483256730472,179.687171884785,241.872612265431,227.303395852225
"ENSMUSG00000058254.12",731.76103143553,360.312342650056,677.607501448364,783.333662943972,861.86198282785,759.258460093016
"ENSMUSG00000058258.14",5613.76513933439,4645.65133695897,3743.84837509952,5803.14055843645,5398.91800519875,9037.05852618713
"ENSMUSG00000058267.13",370.686366807532,473.123717649841,254.568874786826,370.605731351305,360.218707862914,301.558908862779
"ENSMUSG00000058290.4",6.40157070597141,9.12115132556034,17.3723614005768,61.7733695217787,8.89503634850044,8.33352842306814
"ENSMUSG00000058291.14",172.467040115698,227.561268629758,280.085180409162,285.373877369431,313.671426174666,343.458780629075
"ENSMUSG00000058297.16",43.2638968916852,7.37906604751443,8.73107086238836,20.2903618038861,12.0481550953487,8.99043309462432
"ENSMUSG00000058298.10",132.632516793812,184.772476031435,226.10614874065,125.643484550206,100.092772898445,94.9241544778059
"ENSMUSG00000058301.8",2430.72686100683,2597.10809733175,2445.0356737612,3151.5360409716,2398.53557286064,2102.87396414761
"ENSMUSG00000058317.12",399.395043908548,404.767786859727,350.856891229381,458.558022407337,519.840629441868,622.931966934701
"ENSMUSG00000058318.15",415.033415085856,167.884829029877,197.539492496865,352.415273632403,233.800918117046,632.178752964343
"ENSMUSG00000058325.6",581.179499067905,586.031019620723,763.846878514115,638.590238922155,617.159887513916,651.923988142994
"ENSMUSG00000058331.15",21.9029395035947,73.6222471878079,42.9995165948742,17.338725298497,38.2341765493011,45.9735266764492
"ENSMUSG00000058351.11",117.054286605676,199.473733462286,118.301762699081,98.6852443049865,96.2387911051593,51.7869287468881
"ENSMUSG00000058355.8",1283.8577546966,1325.08218786168,1332.56590904271,1299.33460033691,1328.59440181604,1365.21291892404
"ENSMUSG00000058360.5",44.2564282569164,1.24520806378676,39.1309450342067,32.2832260094879,39.8606864785585,18.5999844135602
"ENSMUSG00000058388.14",89.9048464370065,173.537305268307,152.824659032303,182.812506565045,154.7052260799,141.550553356605
"ENSMUSG00000058392.13",197.471654809455,81.9386638152731,110.773789438079,180.998018171163,45.792006976154,91.6345152214261
"ENSMUSG00000058396.7",1172.37232116213,1257.93169822621,1233.79772247752,1575.89154341845,1574.43903815729,1301.01661497583
"ENSMUSG00000058402.14",48.8197572808744,40.9695103841978,32.8333846431468,49.3565813212927,20.1933591801928,88.4507603071784
"ENSMUSG00000058407.12",761.11525295286,987.876880744677,850.296735365454,795.752543422924,594.036016113579,813.26492591787
"ENSMUSG00000058440.14",334.015461972103,246.979365951146,303.21103063347,233.152879869481,301.240998694506,146.161038673899
"ENSMUSG00000058443.5",5366.13264127406,4556.04358362604,4331.36518223296,4685.65709311553,4974.35547739661,5316.44766984363
"ENSMUSG00000058444.8",561.095376857468,668.846739446063,391.084216432025,505.296465029513,613.07639367656,533.3960548957
"ENSMUSG00000058446.14",1440.60726403026,1337.70476847232,1542.54634398336,1337.90312379847,1563.98718064309,1724.67135862421
"ENSMUSG00000058454.15",3222.93413887538,3171.49504900855,2365.19725691709,3474.59886007306,4306.06133754638,6696.36134850095
"ENSMUSG00000058486.11",259.364806030618,520.717361114058,271.206089834057,241.071366426536,298.320661430503,401.404885746167
"ENSMUSG00000058492.5",39.8945106330217,54.1137704381886,42.6527221134882,34.9752969483371,20.9269010269657,28.5522625279277
"ENSMUSG00000058503.11",99.517030728454,166.428552329405,169.085938301634,157.254874507862,145.026918950313,96.0695568031578
"ENSMUSG00000058542.3",30.1844961183167,22.3865151308642,8.88234981785355,13.856412563648,20.8816504574781,8.89295037786455
"ENSMUSG00000058546.8",3892.20158674436,4158.15935206577,4062.62659323202,3721.16018080984,3979.30196897327,3911.17780656856
"ENSMUSG00000058558.12",416.752717983868,424.001326006093,403.286178354073,424.756797496456,424.921695781159,405.864546845623
"ENSMUSG00000058569.8",1599.31707090519,1519.48300919317,998.721007721292,1113.41983690088,956.252622422157,1337.51265235922
"ENSMUSG00000058571.11",32.0932908510954,95.4172749312627,80.1433763087072,62.9348033248231,48.7174861248268,113.507294330222
"ENSMUSG00000058579.5",17.9379152291934,12.4082104162658,17.7507630201324,13.5100499742281,13.1656199298689,23.3598974284008
"ENSMUSG00000058586.12",438.013220103221,637.516724810886,421.568284263599,401.98601607996,422.171198525577,461.608348965038
"ENSMUSG00000058587.9",768.836136827445,817.532320687682,519.811394358449,534.942478077406,785.460299959844,556.53827871967
"ENSMUSG00000058594.15",567.989283541682,585.778907976915,677.74647383445,626.37475518048,546.419769882761,758.518117262823
"ENSMUSG00000058600.13",1849.59858017768,1999.36249651568,1882.59327098451,2046.2827746842,2289.48987145094,2048.48984272243
"ENSMUSG00000058603.10",2176.36853305,2155.97451038754,2552.93778461322,2142.4948766086,2167.51291385114,2121.88198706156
"ENSMUSG00000058613.6",36.0993619800473,8.71608006526674,20.4538716886486,9.2243079146674,6.64349658880053,9.74431966403436
"ENSMUSG00000058620.5",122.727169393197,76.5937928021907,263.021163741294,140.994536496315,74.365525537825,161.527064858196
"ENSMUSG00000058624.13",542.921753688317,786.104105277657,590.609946901574,939.902635070545,801.320710235114,743.73255374928
"ENSMUSG00000058638.14",718.953002189432,769.303256368355,624.884916029596,704.136310228907,714.970845050599,625.345862804617
"ENSMUSG00000058655.9",8181.58068691746,8823.29223315706,7394.74938182273,8122.566382614,8701.85262675891,6820.14189666473
"ENSMUSG00000058656.13",20.9817033291983,28.648233257285,71.1695202854344,23.9724246018449,13.2862252736559,18.5808171137894
"ENSMUSG00000058672.7",1982.14635662928,1220.28797833577,2510.57097471552,1119.78616410289,1597.27820124144,3588.18923362942
"ENSMUSG00000058690.14",725.103323773227,754.864370741827,650.283443225318,1021.73115520678,880.812572525224,1174.37881397364
"ENSMUSG00000058692.4",5.82712049700271,21.1733807559883,24.0180215141486,11.0651692883871,18.0315103252482,35.4002170563583
"ENSMUSG00000058704.9",449.033707004277,549.389938636516,360.082966151618,375.632135834776,385.248302191263,374.731698408035
"ENSMUSG00000058706.5",870.026857005039,577.360830902665,836.045844084434,633.643918363255,825.690388217423,832.474502191975
"ENSMUSG00000058709.11",1987.55178018382,2521.49397746452,1574.75148537956,2346.25430965329,2476.84154070281,1836.35407433118
"ENSMUSG00000058715.11",419.555810939901,359.854039168041,495.079221349356,398.693462490902,304.544552538921,311.662516367526
"ENSMUSG00000058729.13",45.7644565036092,69.5379027008077,50.8104104918819,62.2585515262274,115.479634455602,57.4400358539466
"ENSMUSG00000058748.9",104.317259276012,43.3645330700529,78.3967794323353,108.891618346788,92.1782886413565,96.6377955770089
"ENSMUSG00000058756.13",468.789094260446,333.471363107434,571.743979795427,268.849414506755,424.619768495425,719.702871839153
"ENSMUSG00000058761.5",788.307635574014,1354.29065131917,891.654843689865,1212.01556504972,1510.84825470053,927.302588827773
"ENSMUSG00000058793.14",3364.41853868579,3228.84731099123,2914.20333283436,4205.44536019899,4730.69231765054,4197.12258982115
"ENSMUSG00000058794.12",34.7116585933076,26.0250500418165,61.5295274483185,54.147791037133,22.690870395629,245.865568122707
"ENSMUSG00000058799.16",1988.57636710219,2272.63907335587,1728.29433676617,1224.20971938174,1166.17256204786,1210.7847861164
"ENSMUSG00000058806.15",88.1369565861047,176.611237928863,175.94729777429,320.751472949652,286.348087345121,260.351084930556
"ENSMUSG00000058818.13",261.279688391365,245.810890903262,354.459535223723,240.573169177824,175.360310535172,211.483802058417
"ENSMUSG00000058833.11",950.682126633377,700.683483160036,629.618732359858,547.963609697437,716.800230984927,660.73827556651
"ENSMUSG00000058835.14",811.517878666596,1150.9751468509,990.445323803392,962.449946971538,1090.83780239857,1137.22571144501
"ENSMUSG00000058838.9",13.9085352975645,12.4251608385277,0,12.9374286782584,9.48872281672439,8.90100421617517
