"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","evidence_codes","intersection"
"Up-regulated",TRUE,0.000155422596336208,113,105,6,0.0571428571428571,0.0530973451327434,"GO:0005903","GO:CC","brush border",25413,424,"GO:0045177;GO:0098862","IEA,ISS IEA,IDA,ISS,IDA,IEA","ENSMUSG00000023045,ENSMUSG00000027820,ENSMUSG00000028024,ENSMUSG00000030762,ENSMUSG00000039450,ENSMUSG00000040584"
"Up-regulated",TRUE,0.00170883732095061,175,105,6,0.0571428571428571,0.0342857142857143,"GO:0098862","GO:CC","cluster of actin-based cell projections",25413,3222,"GO:0110165","IEA,ISS IEA,IDA,ISS,IDA,IEA","ENSMUSG00000023045,ENSMUSG00000027820,ENSMUSG00000028024,ENSMUSG00000030762,ENSMUSG00000039450,ENSMUSG00000040584"
"Up-regulated",TRUE,0.0022221434471335,1202,105,15,0.142857142857143,0.0124792013311148,"GO:0098590","GO:CC","plasma membrane region",25413,3147,"GO:0005886;GO:0016020","ISS IEA,ISO IEA,IEA,IDA ISS IEA,IDA IMP IEP ISS IEA,IDA,ISS IEA,IDA IMP IEA,ISS IEA,ISS ISO IEA,IDA ISS IEA,IDA IEA,IEA,IDA IEA,IDA IEA","ENSMUSG00000020102,ENSMUSG00000020669,ENSMUSG00000020926,ENSMUSG00000024354,ENSMUSG00000027577,ENSMUSG00000028024,ENSMUSG00000028238,ENSMUSG00000030096,ENSMUSG00000030340,ENSMUSG00000030737,ENSMUSG00000030762,ENSMUSG00000032849,ENSMUSG00000039450,ENSMUSG00000040584,ENSMUSG00000041078"
"Up-regulated",TRUE,0.00260045112362024,122,105,5,0.0476190476190476,0.040983606557377,"GO:0005788","GO:CC","endoplasmic reticulum lumen",25413,340,"GO:0005783;GO:0070013","IEA,TAS,IDA IEA,IEA,IDA","ENSMUSG00000027792,ENSMUSG00000044254,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000069456"
"Up-regulated",TRUE,0.00311701075486041,2340,105,22,0.20952380952381,0.0094017094017094,"GO:0005576","GO:CC","extracellular region",25413,194,"GO:0110165","IEA,HDA IEA,IDA IEA,IEA,IDA IEA,HDA ISS IEA,IDA,IDA HDA ISS IEA,IEA,IEA,IDA IEA,IEA,IMP,IEA,IEA,IEA,TAS IEA,IEA,IDA,IDA HDA IEA,IMP IEA,IDA ISS ISO TAS IEA","ENSMUSG00000002588,ENSMUSG00000002847,ENSMUSG00000008140,ENSMUSG00000010601,ENSMUSG00000015090,ENSMUSG00000017754,ENSMUSG00000020010,ENSMUSG00000020432,ENSMUSG00000026295,ENSMUSG00000026938,ENSMUSG00000027358,ENSMUSG00000027792,ENSMUSG00000027820,ENSMUSG00000028359,ENSMUSG00000029102,ENSMUSG00000030340,ENSMUSG00000031443,ENSMUSG00000037370,ENSMUSG00000039114,ENSMUSG00000044254,ENSMUSG00000060807,ENSMUSG00000072115"
"Up-regulated",TRUE,0.0110386925114614,259,105,6,0.0571428571428571,0.0231660231660232,"GO:0009925","GO:CC","basal plasma membrane",25413,638,"GO:0045178;GO:0098590","ISS IEA,IDA,IEA,ISS ISO IEA,ISS IEA,IDA IEA","ENSMUSG00000020102,ENSMUSG00000024354,ENSMUSG00000030096,ENSMUSG00000030737,ENSMUSG00000030762,ENSMUSG00000032849"
"Up-regulated",TRUE,0.0129796591953687,11,105,2,0.019047619047619,0.181818181818182,"GO:0072546","GO:CC","EMC complex",25413,2741,"GO:0005789;GO:0098796;GO:0140534","ISS ISO IEA,ISS ISO IEA","ENSMUSG00000008140,ENSMUSG00000078517"
"Up-regulated",TRUE,0.0137875658090589,108,105,4,0.0380952380952381,0.037037037037037,"GO:0140534","GO:CC","endoplasmic reticulum protein-containing complex",25413,3516,"GO:0005783;GO:0032991","ISS ISO IEA,IEA,ISS ISO IEA,IDA","ENSMUSG00000008140,ENSMUSG00000041220,ENSMUSG00000078517,ENSMUSG00000089960"
"Up-regulated",TRUE,0.0137875658090589,276,105,6,0.0571428571428571,0.0217391304347826,"GO:0045178","GO:CC","basal part of cell",25413,2099,"GO:0110165","ISS IEA,IDA,IEA,ISS ISO IEA,ISS IEA,IDA IEA","ENSMUSG00000020102,ENSMUSG00000024354,ENSMUSG00000030096,ENSMUSG00000030737,ENSMUSG00000030762,ENSMUSG00000032849"
"Up-regulated",TRUE,0.0279049667437631,134,105,4,0.0380952380952381,0.0298507462686567,"GO:0005777","GO:CC","peroxisome",25413,331,"GO:0042579","IDA IEA,IEA,IDA,ISS IEA","ENSMUSG00000021416,ENSMUSG00000025464,ENSMUSG00000030541,ENSMUSG00000044350"
"Up-regulated",TRUE,0.0279049667437631,134,105,4,0.0380952380952381,0.0298507462686567,"GO:0042579","GO:CC","microbody",25413,1758,"GO:0005737;GO:0043231","IDA IEA,IEA,IDA,ISS IEA","ENSMUSG00000021416,ENSMUSG00000025464,ENSMUSG00000030541,ENSMUSG00000044350"
"Up-regulated",TRUE,0.0437658766073352,23,105,2,0.019047619047619,0.0869565217391304,"GO:0034364","GO:CC","high-density lipoprotein particle",25413,1442,"GO:0034358","IEA,IEA","ENSMUSG00000002588,ENSMUSG00000017754"
"Up-regulated",TRUE,0.0437658766073352,1,105,1,0.00952380952380952,1,"GO:0032311","GO:CC","angiogenin-PRI complex",25413,1262,"GO:0005576;GO:0032991","ISS ISO","ENSMUSG00000072115"
"Up-regulated",TRUE,0.0437658766073352,23,105,2,0.019047619047619,0.0869565217391304,"GO:1990391","GO:CC","DNA repair complex",25413,3903,"GO:1902494","IEA,ISS IEA","ENSMUSG00000017146,ENSMUSG00000047617"
