"","SRR33445252","SRR33445253","SRR33445254","SRR33445260","SRR33445261","SRR33445262"
"ENSMUSG00000031090.14",609.90329999861,719.950419245385,582.456730493697,504.172243501903,584.891183057372,578.219852530778
"ENSMUSG00000058454.15",3472.38278799209,3032.74451215802,2319.25282096734,3403.84890349742,4073.65011175798,6128.77946878222
"ENSMUSG00000037541.21",405.440479427647,426.49912573604,864.432757359026,419.076020914468,730.880022348492,1684.64661131881
"ENSMUSG00000031078.15",1626.40879999629,1493.36865891832,1242.45686837536,1446.63578398641,1327.00111612057,1460.02706314297
"ENSMUSG00000037519.17",654.048681712795,892.788257371652,761.33527253639,886.647738572313,791.708705386459,816.000702357547
"ENSMUSG00000031077.7",196.330776570981,218.845032447647,251.134898926934,197.642839557915,163.769531256064,246.555050927388
"ENSMUSG00000031075.19",33.6898965713518,41.0334435839339,93.4045588991405,90.5863014640444,87.9676339318287,71.0710289150122
"ENSMUSG00000115783.1",16.2640879999629,21.1384406341478,20.2670269309456,0,7.48660714313436,4.38710055030939
"ENSMUSG00000031072.14",246.284761142296,164.133774335736,210.600845065043,287.314127875858,222.726562508247,171.974341572128
"ENSMUSG00000070348.5",1291.83327542563,780.878865779105,1870.73470323467,3103.72459157615,1308.28459826273,1520.56905073724
"ENSMUSG00000048677.9",65.0563519998517,55.9546957962735,94.2857339830946,138.16698506132,51.4704241090487,64.0516680345171
"ENSMUSG00000005534.10",2826.46615027927,3903.15089121117,3834.87396536848,4543.04027039374,5046.90904036545,4347.61664535661
"ENSMUSG00000004568.13",552.97899199874,692.594790189429,893.511535129513,705.475135644224,811.361049137186,773.007116964515
"ENSMUSG00000069633.12",321.796598284981,258.63503834722,200.026744057593,236.073391694176,270.453683045729,307.097038521658
"ENSMUSG00000047264.8",284.621539999351,309.615983406047,305.767754132092,267.183838661626,313.501674118751,316.748659732338
"ENSMUSG00000004567.16",792.29342971248,908.952947268354,657.3566126298,969.913934867546,867.510602710694,739.665152782164
"ENSMUSG00000004565.15",489.084360570314,443.907253317103,400.934663199141,347.704995518554,311.630022332968,477.316539873662
"ENSMUSG00000065952.13",89.4524839997961,48.4940696901037,18.5046767630373,64.0509202271021,93.5825892891795,218.477607405408
"ENSMUSG00000044433.16",302.04734857074,387.952557520829,410.627589122636,355.940113833467,408.020089300823,357.987404905247
"ENSMUSG00000019470.12",485.599198856036,611.771340705923,516.368599197135,540.772769345962,523.126674126513,649.29088144579
"ENSMUSG00000087687.3",246.284761142296,233.766284659987,181.522067294556,186.662681804697,174.999441970766,243.922790597202
"ENSMUSG00000004626.14",1018.82894114053,874.136692106228,889.105659709743,800.636502838776,847.858258959966,899.355612813426
"ENSMUSG00000040236.4",555.302433141591,401.630372048807,459.973393824069,496.852138333092,445.453125016494,422.039072939764
"ENSMUSG00000074491.9",961.904633140665,665.239161133474,891.749184961605,1199.58223453901,1426.1986607671,1148.542924071
"ENSMUSG00000065987.12",8.13204399998146,29.8425044246792,25.5540774346705,10.9801577532175,5.61495535735077,11.4064614308044
"ENSMUSG00000097657.2",39.4984994284814,2.48687536872327,14.9799764272206,8.23511831491312,15.9090401791605,1.75484022012376
"ENSMUSG00000051906.15",13.9406468571111,2.48687536872327,0,10.065144607116,15.9090401791605,5.26452066037127
"ENSMUSG00000011832.15",149.861953713944,73.3628233773363,93.4045588991405,94.2463540484502,89.8392857176123,109.677513757735
"ENSMUSG00000064125.14",45.307102285611,26.1121913715943,31.7223030223496,9.15013146101458,30.8822544654292,34.2193842924133
"ENSMUSG00000046589.7",0,0,10.5741010074499,0.915013146101458,12.1657366075933,17.5484022012376
"ENSMUSG00000002948.19",485.599198856036,470.019444688697,385.95468677192,428.226152375482,485.693638410842,507.148823615766
"ENSMUSG00000089736.2",68.5415137141295,18.6515652654245,35.2470033581662,10.065144607116,18.7165178578359,12.2838815408663
