"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000001017.15",1027.17808080415,0.00827653995754038,0.114853525864202,0.908558263702896,0.992181502679577
"ENSMUSG00000001018.15",363.081765246112,-0.137163685561174,0.182895817999,0.0988256518220792,0.587645902064949
"ENSMUSG00000001020.8",17.6109251148957,-0.0281126887837137,0.148734999849037,0.13376363687959,0.659332691033005
"ENSMUSG00000001025.8",38.5407194972395,-0.0371313533644484,0.150111299407522,0.182595725566104,0.732876017031839
"ENSMUSG00000001029.15",99.4704491823407,-0.0283580944813662,0.139647399914513,0.571869680070233,0.936841346151615
"ENSMUSG00000001034.17",92.0158474703803,-0.0775775160262704,0.15994017724868,0.179309544010441,0.728817483991205
"ENSMUSG00000001036.17",233.528325135718,0.139172849902346,0.204194328590689,0.0744900304733103,0.529489651764807
"ENSMUSG00000001039.12",10.8760693245454,-0.0217393953717122,0.146673807500172,0.307584011334004,0.839001604580966
"ENSMUSG00000001052.15",697.344881321442,-0.0279780665940519,0.129508023657051,0.6547997048294,0.956757800455038
"ENSMUSG00000001053.15",104.653108224223,-0.117523194689503,0.19355497158732,0.0762780547612131,0.534243455359813
"ENSMUSG00000001054.9",310.762576431155,-0.0388978117194166,0.13290517443738,0.53798649961154,0.93000968151715
"ENSMUSG00000001056.3",442.364525400924,-0.0727374079142206,0.154527193755749,0.222104719343695,0.774765798120983
"ENSMUSG00000001062.18",423.309336177216,0.0822626904367918,0.157877911694973,0.197936536038908,0.753554161164338
"ENSMUSG00000001065.15",575.57440911001,0.019625685949416,0.140835292892866,0.649834899280662,0.95648531021815
"ENSMUSG00000001082.12",109.732521499941,-0.0226336863364888,0.143500216335553,0.526831850969102,0.927052891029368
"ENSMUSG00000001089.14",535.460272349442,0.0681677955437905,0.144376641209009,0.304869930209941,0.837623948075719
"ENSMUSG00000001095.5",43.3518622938745,0.0479136543386791,0.155247220484329,0.0749187438006464,0.530642225185197
"ENSMUSG00000001098.15",461.609061058947,-0.0648097983380868,0.130641223473578,0.373989930574301,0.872474915347741
"ENSMUSG00000001100.10",2151.86620362149,0.0231094147467763,0.111512727619304,0.752903599649462,0.976941279185584
"ENSMUSG00000001103.7",9.51481064385314,-0.0161071024142052,0.14600784464768,0.378382677006981,0.872885696925688
"ENSMUSG00000001105.15",638.848571195851,-0.246035742565634,0.223424109112242,0.0282710699310005,0.331362189669734
"ENSMUSG00000001119.7",381.918145210627,-0.044007253269428,0.144792124123879,0.376315131802576,0.872732130118222
"ENSMUSG00000001120.15",40.821341308213,-0.0130196980316546,0.143170262161595,0.671115998424503,0.959691405041372
"ENSMUSG00000001123.15",12141.3596213655,0.077562452565223,0.135821572181822,0.304948127895381,0.837623948075719
"ENSMUSG00000001127.12",1503.85739802443,0.0699123350586287,0.119327470729277,0.361560068067694,0.86624308170955
"ENSMUSG00000001128.7",865.240539958707,0.125928055624831,0.188054513045813,0.0946203213979327,0.577910442691267
"ENSMUSG00000001134.9",215.381743861062,0.0829937729501968,0.161820740506202,0.17220146350657,0.71793788470441
"ENSMUSG00000001138.13",436.73241768445,-0.0341363185351134,0.137248837494329,0.541428242113944,0.931005365456171
"ENSMUSG00000001143.13",492.907647305214,-0.0290076124490008,0.132157842539643,0.632489622763123,0.95444891944275
