"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUST00000197653.4|ENSMUSG00000033883.11|OTTMUSG00000052214.3|OTTMUST00000131188.1|Zfp267-202|Zfp267|6689|protein_coding|",60.738417346312,9.23497386718145,1.34391529230855,6.87169341701424,6.34441936426829e-12,6.41523127072109e-09
"ENSMUST00000023820.5|ENSMUSG00000023057.5|OTTMUSG00000035257.1|OTTMUST00000089920.1|Fabp2-201|Fabp2|965|protein_coding|",877.050192986366,-1.03882509540396,0.15146350055995,-6.85858369550087,6.95465821243768e-12,6.81252238522098e-09
"ENSMUST00000055758.15|ENSMUSG00000044308.17|OTTMUSG00000013114.5|OTTMUST00000031645.3|Ubr3-201|Ubr3|8072|protein_coding|",1282.57937315203,1.3108532391992,0.192548308212649,6.80791875746577,9.9020752178654e-12,9.40577120543057e-09
"ENSMUST00000106452.1|ENSMUSG00000020770.13|OTTMUSG00000003686.2|OTTMUST00000007986.1|Unk-202|Unk|3696|protein_coding|",65.6474390827185,9.34723952550227,1.38252236613781,6.76100420104924,1.37038549925997e-11,1.26341481940598e-08
"ENSMUST00000135298.7|ENSMUSG00000039585.15|OTTMUSG00000034123.1|OTTMUST00000086328.1|Myo9a-205|Myo9a|12198|protein_coding|",69.412797731217,9.42760138307253,1.39823858199429,6.74248408281372,1.55701304779152e-11,1.39446088560209e-08
"ENSMUST00000070699.14|ENSMUSG00000056536.14|OTTMUSG00000048961.1|-|Pign-201|Pign|6528|protein_coding|",85.8151807889083,-7.14948867292303,1.06521806142955,-6.71176065427224,1.92289924292104e-11,1.67431110190564e-08
"ENSMUST00000164304.8|ENSMUSG00000056917.13|OTTMUSG00000074383.2|OTTMUST00000180503.1|Sipa1-203|Sipa1|3584|protein_coding|",90.2791035924957,8.84250931393507,1.32340688116511,6.68162561324318,2.36306099515164e-11,2.00195972848712e-08
"ENSMUST00000117836.7|ENSMUSG00000022971.18|OTTMUSG00000040135.4|OTTMUST00000067198.1|Ifnar2-203|Ifnar2|1099|protein_coding|",1851.42302524214,-0.592767313245397,0.0889987183537248,-6.66040280366114,2.73078113900343e-11,2.25260698903162e-08
"ENSMUST00000233057.1|ENSMUSG00000024053.11|OTTMUSG00000072622.1|OTTMUST00000175796.1|Emilin2-203|Emilin2|3939|protein_coding|",51.3694095131316,8.99327301771503,1.35573982624768,6.63347999638393,3.2786342663498e-11,2.63518127469233e-08
"ENSMUST00000021853.11|ENSMUSG00000021416.11|OTTMUSG00000035929.2|OTTMUST00000092163.1|Eci3-201|Eci3|1347|protein_coding|",68.9788082836395,9.41956026626679,1.43296314630644,6.57348396610643,4.91513685304839e-11,3.85174699489137e-08
"ENSMUST00000016338.14|ENSMUSG00000016194.14|OTTMUSG00000030692.6|OTTMUST00000075989.4|Hsd11b1-201|Hsd11b1|1623|protein_coding|",6013.81606262512,0.860873965079358,0.132555170377405,6.49445783690154,8.33329635779474e-11,6.21941684836748e-08
"ENSMUST00000023589.14|ENSMUSG00000022875.18|OTTMUSG00000025899.4|OTTMUST00000063825.1|Kng1-201|Kng1|2255|protein_coding|",11286.5848834426,0.788119313870444,0.121347495307579,6.49473078840893,8.31820222627903e-11,6.21941684836748e-08
"ENSMUST00000188587.6|ENSMUSG00000048126.16|OTTMUSG00000022359.6|-|Col6a3-208|Col6a3|8285|protein_coding|",65.3709319034074,9.34107142266058,1.4394920876817,6.4891439852958,8.63254370031363e-11,6.2929236006984e-08
"ENSMUST00000175912.7|ENSMUSG00000021000.17|OTTMUSG00000027665.2|OTTMUST00000103358.2|Mia2-208|Mia2|2885|protein_coding|",77.440872811066,9.58576296742921,1.47917060632306,6.48049854861409,9.14200338206666e-11,6.51284631850595e-08
"ENSMUST00000151372.7|ENSMUSG00000039662.16|OTTMUSG00000010407.4|OTTMUST00000024265.2|Icmt-204|Icmt|4950|nonsense_mediated_decay|",56.4774061266745,9.13017268591012,1.41212594045848,6.46555128287341,1.00930166302741e-10,7.03057109539051e-08
"ENSMUST00000119978.1|ENSMUSG00000095937.1|OTTMUSG00000007923.1|OTTMUST00000017986.1|Gm12671-201|Gm12671|1002|processed_pseudogene|",104.796308952668,10.0230719565768,1.55749917150351,6.43536262488103,1.23178893436011e-10,8.21524594392598e-08
"ENSMUST00000180167.1|ENSMUSG00000094708.1|OTTMUSG00000042572.1|OTTMUST00000112219.1|Gm10359-201|Gm10359|1002|processed_pseudogene|",104.796308952668,10.0230719565768,1.55749917150351,6.43536262488103,1.23178893436011e-10,8.21524594392598e-08
"ENSMUST00000172220.7|ENSMUSG00000055670.14|OTTMUSG00000006113.3|-|Zzef1-207|Zzef1|11249|protein_coding|",74.2289124850161,9.52439456508247,1.48103814529931,6.43089078786532,1.26858286511232e-10,8.28437468537726e-08
"ENSMUST00000129987.1|ENSMUSG00000056973.6|OTTMUSG00000024539.1|OTTMUST00000060242.1|Ces1d-202|Ces1d|387|retained_intron|",785.37808240398,1.09082151963385,0.170561922408999,6.39545746334939,1.6006739889787e-10,1.02397401752095e-07
"ENSMUST00000108116.9|ENSMUSG00000001247.16|OTTMUSG00000022193.6|OTTMUST00000052723.3|Lsr-203|Lsr|2071|protein_coding|",3614.82763821621,0.534763709046112,0.0840836307940352,6.35990268255694,2.01881612690221e-10,1.26563620627754e-07
